location a0 a1 a2 stdiv
1 -0.0749683 37.9216 -41747.1 1.66034e-05
2 0.0489335 11.381 -10827.8 8.94823e-06
3 -0.00169117 3.02514 -3465.15 6.05568e-07
4 0.00977959 -4.7502 6999.63 1.2968e-06
5 0.000405675 -2.65878 4108.03 6.9209e-07
6 0.00279103 -3.41075 5235.69 7.48325e-07
7 7.76954e-05 -0.650465 1195.97 2.16996e-07
8 0.000698069 -1.70289 2780.38 8.03437e-07
9 -5.05521e-05 -0.0237432 55.6129 4.03565e-08
10 0.000194233 -0.717096 1247.51 4.2556e-07
11 -1.58971e-05 0.042396 -66.7084 4.11721e-08
12 3.69824e-05 -0.186074 347.76 1.2672e-07
13 -2.2986e-05 0.0363193 -48.2847 2.30841e-08
14 3.53182e-06 -0.0454082 91.193 3.82631e-08
15 -4.01809e-06 0.0110638 -15.7286 6.16254e-09
