location a0 a1 a2 stdiv
1 -0.00173075 -1.21694 1266.16 6.88579e-07
2 -0.00263598 -0.844894 1146.11 2.5588e-07
3 -0.000869754 0.486421 -268.501 4.27341e-07
4 -0.000209449 0.380936 -476.021 9.99894e-08
5 -0.000270362 -0.122697 17.9772 1.51083e-07
6 -0.000332442 -0.00737405 -46.2525 1.66708e-07
7 -0.000158519 0.321428 -483.041 9.89382e-08
8 -0.000102459 0.286003 -479.578 1.92005e-07
9 -0.000173938 0.145284 -215.566 1.78109e-07
10 -0.000154041 0.174107 -228.002 2.80829e-09
11 -6.7622e-05 0.225791 -361.955 5.29044e-08
12 -7.38785e-05 0.239868 -376.746 1.71419e-07
13 -0.000116227 0.255742 -358.169 1.58714e-07
14 -8.10034e-05 0.19982 -288.86 8.88254e-08
15 -3.56312e-05 0.144957 -231.756 5.6563e-08
