location a0 a1 a2 stdiv
1 -0.152774 60.0293 -121583 5.71041e-05
2 0.0163949 -18.5465 353.089 5.10901e-05
3 0.00250247 4.92538 -3530.13 1.62285e-05
4 -0.00388435 1.01101 700.757 2.11057e-05
5 0.00171981 -1.59556 573.29 1.53182e-05
6 -0.00112177 1.94442 -1980.12 7.8868e-06
7 0.000785416 -1.88635 2256.97 4.98038e-06
8 -0.000503194 1.7316 -2544.49 2.13454e-06
9 6.59534e-05 -0.325894 534.593 6.2057e-07
10 0.000133091 -0.496719 751.296 5.70027e-08
11 -0.000186723 0.856228 -1423.04 1.58968e-07
12 0.000118862 -0.586317 999.667 1.59422e-07
13 -5.89156e-05 0.311843 -549.761 1.25209e-07
14 1.5131e-05 -0.0810777 142.913 4.26637e-08
15 8.20743e-07 -0.00632489 12.9814 5.65164e-09
16 -5.8151e-06 0.0374477 -71.7302 3.14726e-08
17 4.87225e-06 -0.0317344 61.1167 2.92511e-08
18 -3.26868e-06 0.0222364 -43.7733 2.34073e-08
19 1.59224e-06 -0.0111463 22.2008 1.26686e-08
20 -5.90306e-07 0.00430184 -8.73604 5.24245e-09
21 8.3802e-09 -7.78059e-05 0.168686 1.8329e-10
22 1.64482e-07 -0.0012178 2.49664 1.48545e-09
23 -1.75463e-07 0.00134536 -2.8059 1.73419e-09
24 1.09378e-07 -0.000847145 1.77486 1.09043e-09
25 -5.28774e-08 0.000417605 -0.883948 5.43096e-10
26 -nan -nan -nan -nan
27 -nan -nan -nan -nan
