location a0 a1 a2 stdiv
1 -0.1506 22.1897 -39133.7 7.93861e-05
2 0.0164106 -23.6758 12793.1 2.11874e-05
3 0.00268533 4.32739 -3814.77 4.1429e-06
4 -0.0046273 6.30641 -10470.6 3.95152e-06
5 0.00251629 -7.80099 13983 8.06351e-06
6 -0.001657 6.11226 -10996.5 4.74699e-06
7 0.00119106 -5.04885 9060.04 3.25993e-06
8 -0.000740834 3.60748 -6605.4 1.16024e-06
9 0.000143142 -0.956315 1930.29 3.13753e-07
10 0.000152372 -0.650314 1067.05 3.96926e-08
11 -0.000239117 1.28392 -2344.09 3.61675e-08
12 0.000156567 -0.890773 1660 5.42144e-08
13 -7.65475e-05 0.457135 -866.747 7.59823e-08
14 1.91578e-05 -0.115405 217.801 2.08377e-08
15 1.99229e-06 -0.0154492 32.5797 2.08272e-09
